,0,1,2,3,4,5,6
202,312,Augmented Radar Imaging,https://augmentedradar.com/#,N,augmentedradar/repositories/0,7,N
203,373,Watermark,https://www.watermarkinsights.com,N,WatermarkInsights/repositories/0,7,Y
204,412,Ardius,http://www.ardius.com,N,ardiustech/repositories/0,7,Y
205,590,Engine ML,https://www.engineml.com/,N,EngineML/repositories/0,7,N
206,724,Pyxis,https://pixis.ai/,N,pixisai/repositories/0,7,N
207,759,Carbonado Technologies Inc,https://carbonado.tech/,N,Carbonado/repositories/0,7,N
208,1084,Diffgram,https://diffgram.com/,N,diffgram/repositories/0,7,Y
209,1132,Striveworks,https://striveworks.com,N,Striveworks/repositories/0,7,Y
210,1317,Abacus.AI,https://abacus.ai/,N,abacusai/repositories/0,7,Y
211,1365,Datasaur,https://www.datasaur.ai,N,datasaur-ai//repositories/0,7,N
212,1394,1build,https://www.1build.com/,N,1build/repositories/0,7,Y
213,1473,Advocat,https://www.advocat.ai/,N,advocat-ai//repositories/0,7,N
214,1477,Factored,https://www.factored.ai/,N,factoredai/repositories/0,7,N
215,1602,NLMatics,https://www.nlmatics.com,N,nlmatics/repositories/0,7,Y
216,2047,Flet.ai,https://www.flet.ai,N,flet-dev/repositories/0,7,N
217,2326,ALO,https://alo.ai,N,alo-ai//repositories/0,7,Y
218,2354,Personal AI,https://personal.ai,N,personal-ai//repositories/0,7,Y
219,2433,Gridware,https://gridware.io,N,gridware//repositories/0,7,N
220,2524,Cameralyze,https://www.cameralyze.co,N,cameralyze/repositories/0,7,N
221,2740,Merlin Mobility,https://www.drivemerlin.com/,N,DriveMerlin//repositories/0,7,N
222,109,Voxie,https://www.voxie.com/,N,voxie/repositories/0,6,Y
223,195,FoxyAI,https://www.foxyai.com/,N,foxyai/repositories/0,6,N
224,378,Qokka,https://qokka.ai,N,Qokka/repositories/0,6,Y
225,422,Autonom8,https://autonom8.com,N,Autonom8/repositories/0,6,N
226,511,Talent Ticker,https://www.talentticker.ai/,N,TalentTicker/repositories/0,6,N
227,513,Shortest Track Company,https://shortesttrack.com/,N,shortesttrack/repositories/0,6,N
228,574,Bloxy.info,https://bloxy.info,N,Bloxy-info/repositories/0,6,Y
229,1007,Invisible AI,https://www.invisible.ai,N,invisible-ai/repositories/0,6,N
230,1042,Geminus.ai,https://www.geminus.ai/,N,Geminus-AI/repositories/0,6,Y
231,1086,LinkedAI,https://linkedai.co,N,LinkedAi/repositories/0,6,Y
232,1159,Botcopy,https://botcopy.com/,N,Botcopy/repositories/0,6,Y
233,1225,Auxin.io,https://www.auxin.io,N,Auxin-io/repositories/0,6,Y
234,1333,Lexion,https://www.lexion.ai/,N,lexionai/repositories/0,6,N
235,1342,Hayden AI,http://www.hayden.ai,N,haydenai/repositories/0,6,Y
236,1349,Falkon AI,http://www.falkon.ai,N,falkonai/repositories/0,6,N
237,1366,Continual,https://continual.ai/,N,continual-ai/repositories/0,6,Y
238,1392,NetSpring,https://www.netspring.io/,N,netspringit/repositories/0,6,N
239,1428,Atomic Industries,https://www.atomic.industries,N,Atomic-Industries/repositories/0,6,N
240,1452,nFlux AI,https://www.nflux.ai,N,nflux//repositories/0,6,Y
241,1484,Artifact,https://www.artifact.io,N,Artifact-io/repositories/0,6,Y
242,1493,Peoplelogic,https://peoplelogic.ai,N,peoplelogic//repositories/0,6,N
243,1579,Dextrous Robotics,https://www.dextrousrobotics.com,N,DextrousRobotics//repositories/0,6,N
244,1589,BrightHire,https://brighthire.ai/,N,brighthire//repositories/0,6,Y
245,1599,IoTFlows Inc,https://www.iotflows.com,N,iotflows//repositories/0,6,Y
246,1607,ADEx Document Intelligence,https://www.adex.ai,N,adexltd//repositories/0,6,N
247,1756,Strife AI,https://www.strife.ai/,N,Strife-AI/repositories/0,6,N
248,1775,Bunkerhill Health,http://www.bunkerhillhealth.com/,N,bunkerhillhealth/repositories/0,6,N
249,1822,Towards AI,https://towardsai.net/,N,towardsai/repositories/0,6,Y
250,1866,Constellation Analytics,https://constellationanalytics.com/,N,constellationanalytics/repositories/0,6,N
251,2171,<Tuple>,http://tuple.xyz,N,tuplexyz/repositories/0,6,N
252,2352,CopyAI,https://www.copy.ai,N,copy-ai/repositories/0,6,Y
253,2361,Sensible,https://www.sensible.so,N,sensible-hq//repositories/0,6,Y
254,2399,Metaphor,https://metaphor.io/,N,MetaphorData//repositories/0,6,Y
255,2695,taiy.ai,https://www.taiyo.ai,N,Taiyo-ai/repositories/0,6,N
256,16,NLX,https://nlx.ai,N,nlxai/repositories/0,5,Y
257,144,Enya.ai,https://enya.ai/,N,enyalabs/repositories/0,5,Y
258,190,BioTrillion,https://www.biotrillion.com,N,BioTrillion//repositories/0,5,N
259,256,Playform,http://www.playform.io,N,playform/repositories/0,5,N
260,343,Optilogic,https://optilogic.com,N,optilogic//repositories/0,5,N
261,795,PathBase,https://pathbase.io,N,PathBase//repositories/0,5,Y
262,798,Yolla,https://yollamedia.com,N,YollaMedia/repositories/0,5,N
263,811,"Audseb, Inc.",https://www.audseb.com,N,audseb/repositories/0,5,N
264,1044,Pachama,https://www.pachama.com,N,pachama/repositories/0,5,N
265,1087,Defynance,https://defynance.com,N,DefynanceGH/repositories/0,5,N
266,1344,MixMode,http://www.mixmode.ai,N,mixmodeai/repositories/0,5,Y
267,1432,Snorble,https://snorble.com,N,snorble//repositories/0,5,N
268,1649,Zumo Labs,http://zumolabs.ai,N,ZumoLabs/repositories/0,5,Y
269,1701,"Henkaku, LLC",https://www.henkaku.ai,N,henkaku//repositories/0,5,N
270,2010,EazyML,https://eazyml.com/,N,EazyML/repositories/0,5,Y
271,2300,Workera,https://workera.ai/,N,workera-ai/repositories/0,5,Y
272,2309,Moises,https://moises.ai,N,moises-ai/repositories/0,5,Y
273,2415,Colossyan,https://www.colossyan.com/,N,colossyan/repositories/0,5,N
274,2508,PredictNow.ai Inc.,https://www.predictnow.ai/,N,PredictNowAI//repositories/0,5,Y
275,2510,SmartHub.ai,https://www.smarthub.ai,N,smarthub-ai/repositories/0,5,N
276,2546,Bavard AI,https://www.bavard.ai/,N,bavard-ai/repositories/0,5,N
277,2548,Connectly.ai,https://www.connectly.ai,N,Connectly/repositories/0,5,N
278,2586,Obviously AI,https://www.obviously.ai/,N,ObviouslyAI/repositories/0,5,Y
279,2605,MixPose,https://mixpose.com,N,MixPose//repositories/0,5,N
280,2679,Giftpack,https://giftpack.ai,N,Giftpack/repositories/0,5,Y
281,2747,Slingshot,https://slingshot.fm,N,slingshot/repositories/0,5,Y
282,2786,Telepath.io,https://telepath.io,N,telepath-ai/repositories/0,5,Y
283,14,KoBold Metals,https://www.koboldmetals.com,N,KoBoldMetals/repositories/0,4,N
284,37,Mosaic,https://www.mosaicapp.com,N,mosaicapp/repositories/0,4,N
285,44,Amplemarket,https://amplemarket.com/,N,amplemarket/repositories/0,4,Y
