278,Connectly.ai,https://www.connectly.ai,N,Connectly,5,N
279,Obviously AI,https://www.obviously.ai/,N,ObviouslyAI,5,Y
280,MixPose,https://mixpose.com,N,MixPose,5,N
281,Giftpack,https://giftpack.ai,N,Giftpack,5,Y
282,Slingshot,https://slingshot.fm,N,slingshot,5,Y
283,Telepath.io,https://telepath.io,N,telepath-ai,5,Y
284,KoBold Metals,https://www.koboldmetals.com,N,KoBoldMetals,4,N
285,Mosaic,https://www.mosaicapp.com,N,mosaicapp,4,N
286,Amplemarket,https://amplemarket.com/,N,amplemarket,4,Y
287,NODAR,http://www.nodarsensor.com,N,nodarsensor,4,Y
288,Kizen,https://kizen.com,N,kizen,4,Y
289,TrustLayer,https://trustlayer.io/,N,trustlayer,4,Y
290,Insitro,http://www.insitro.com,N,insitro,4,N
291,DTonomy Inc.,https://www.dtonomy.com,N,DTonomy-Inc,4,Y
292,CogniCor,http://www.cognicor.com,N,cognicortechnologies,4,Y
293,CustomerSuccessBox,http://customersuccessbox.com,N,customersuccessbox,4,Y
294,Tempore,https://www.tempore.com,N,temporenc,4,N
295,Open Conjecture,http://openconjecture.com/,N,OpenConjecture,4,N
296,BLOCK id,https://www.blockid.cloud/,N,blockid,4,N
297,DataJet Software,https://www.datajetsoftware.com,N,datajetsoftware,4,N
298,Natively.ai,https://natively.ai,N,natively-project,4,N
299,Rizse,https://www.rizse.io,N,Rizseinc,4,Y
300,BigSpring,https://bigspring.io,N,bigspring-io,4,Y
301,Rephrase.ai,https://rephrase.ai/,N,rephrase-ai,4,N
302,Nayya,http://www.nayya.com,N,Nayya-com,4,N
303,Synthetaic,https://www.synthetaic.com/,N,synthetaic,4,N
304,Lynx MD,https://www.lynx.md,N,LynxMD,4,Y
305,Pathr.ai,http://pathr.ai,N,pathr,4,Y
306,KAID Health,https://www.kaidhealth.com/,N,KAIDHealth,4,N
307,Infinitus Systems,https://www.infinitus.ai,N,infinitusai,4,Y
308,Xailient,https://www.xailient.com/,N,XailientPublic,4,Y
309,AMAI,https://amai.io/,N,amai-io,4,N
310,Vouchery.io,https://www.vouchery.io,N,vouchery,4,Y
311,Nuclei,https://nuclei.ai,N,NucleiAI,4,Y
312,Weavr Inc.,https://weavr.ai,N,weavrai,4,N
313,Marsview.ai,https://www.marsview.ai,N,Marsview,4,N
314,extension.dev,https://extension.dev/,N,extension-dev,4,Y
315,SHERLOC,http://www.Sherloc.ai,N,sherlock-project,4,N
316,M2x.AI,http://www.M2x.ai,N,m2x-dev,4,N
317,Counter Factual .AI,http://www.counterfactual.ai/,N,CounterFactualAI,4,N
318,All Vision Technologies,https://www.all.vision/,N,all-vision,4,N
319,Genesis Therapeutics,https://www.genesistherapeutics.ai/,N,genesistherapeutics,4,N
320,retrain.ai,https://www.retrain.ai/,N,retrain-ai,4,N
321,GrayMatter Robotics,https://www.graymatter-robotics.com,N,GrayMatter-Robotics,4,Y
322,Datrics,https://datrics.ai/,N,datrics-ai,4,Y
323,Clearbrief,https://clearbrief.com,N,clearbrief-inc,4,N
324,Multiscale Technologies,https://multiscale.tech,N,multiscale,4,N
325,Berryworks,https://www.berryworks.ai,N,BerryWorksSoftware,4,N
326,Pangea Chat,https://www.pangeachat.com,N,pangeachat,4,N
327,aiXplain,https://aixplain.com/,N,aixplain,4,Y
328,Preamble,https://www.preamble.com/,N,preambleai,4,N
329,Soniox,https://soniox.com,N,soniox,4,Y
330,Superb AI,https://www.superb-ai.com,N,Superb-AI-Suite,3,Y
331,Birdie,https://birdie.ai,N,birdie-ai,3,N
332,BlueCargo,https://www.bluecargo.io/,N,bluecargo,3,Y
333,Bright Machines,https://www.brightmachines.com,N,brightmachines,3,N
334,Jido Maps,https://www.jidomaps.com/,N,jidomaps,3,Y
335,Latent AI,http://latentai.com/,N,latentai,3,N
336,Tint.ai,https://www.tint.ai,N,tint-ai,3,Y
337,Around,https://www.around.co,N,around,3,N
338,Amplio.ai,https://www.amplio.ai/,N,Amplio-ai,3,N
339,Tresl,https://tresl.co/,N,tresl-co,3,Y
340,Quantime,https://quantime.ai,N,quantime,3,Y
341,Reveal Technology,https://www.revealtech.ai/,N,revealtech,3,N
342,Scaletech,https://www.scaletech.xyz,N,Team-Scaletech,3,Y
343,Augustus Intelligence,https://augustusai.com,N,augustusai,3,N
344,When Labs,http://www.whenlabs.com/,N,whenlabs,3,N
345,Opinosis Analytics,https://www.opinosis-analytics.com,N,opinosis-analytics,3,Y
346,Infiniwell,https://www.infiniwell.ai/,N,Infiniwell-ai,3,N
347,CloudCosmos,https://cloudcosmos.tech/,N,CloudCosmos,3,Y
348,intenseye,https://intenseye.com,N,intenseye,3,N
349,Ydrive,https://ydrive.ai,N,ydrive,3,Y
350,BetterHealth.ai,http://betterhealth.ai,N,betterhealth,3,N
351,Veamly,https://www.veamly.com/,N,veamly-inc,3,Y
352,AiDash,https://www.aidash.com,N,aidash,3,Y
353,d-Matrix,https://www.d-matrix.ai/,N,d-matrix-ai,3,Y
354,OxeFit,https://www.oxefit.com/,N,OxeFit,3,N
355,Hopstack,https://www.hopstack.io/,N,hopstack-inc,3,N
356,Daloopa,https://daloopa.ai,N,daloopa,3,N
357,Bloomfield Robotics,https://bloomfield.ai,N,BloomfieldRobotics,3,Y
358,XOKind,https://xokind.com/,N,xokind,3,N
359,Argoid,https://argoid.ai/,N,Argoid,3,N
360,Zeni,https://www.zeni.ai/,N,zeni-ai,3,N
361,Tauruseer,http://tauruseer.com,N,tauruseer,3,Y
362,BlueSuit,https://www.bluesuit.com,N,BlueSuit,3,N
363,Borza,https://borza.com,N,sborza,3,N
364,Maxwell Labs,https://www.maxwell-labs.com/,N,maxwell-labs,3,N
365,Fluid Power AI,https://fluid-ai.com,N,Fluid-AI,3,N
366,xiris,https://xiris.ai,N,xIris-Corp,3,Y
367,Digital Analytica,http://www.digitalanalytica.net,N,digitalanalytica,3,N
368,Row64,https://row64.com,N,Row64,3,Y
369,Hive Forensics AI,https://hiveforensics.com,N,HiveForensics-AI,3,Y
370,Credo AI,https://www.credo.ai/,N,Credo-AI,3,N
371,Climavision,https://www.climavision.com,N,Climavision,3,N
372,Ozette Technologies,https://ozette.ai,N,OzetteTech,3,N
373,Base64.ai,https://base64.ai,N,base64ai,3,Y
374,Headroom,https://www.goheadroom.com/,N,goheadroom,3,N
375,Anari AI,http://anari.ai/,N,Anari-AI,3,Y
376,MetaSpark Corporation,https://metaspark.io,N,metaspark-io,3,Y
377,Canaery,https://www.canaery.com/,N,canaery,3,N
378,Censius,https://censius.ai/,N,Censius,3,N
379,Databar.ai,https://www.databar.ai,N,databar-ai,3,N
380,Ai-OPs,https://www.ai-op.com,N,AI-OP,3,N
381,Troopr,https://www.troopr.ai,N,Troopr-Production,3,N
382,"HeartRithm, LLC",https://www.heartrithm.com,N,heartrithm,3,Y
383,Y Meadows,https://ymeadows.com,N,ymeadows,3,Y
384,Orma Health,https://ormahealth.com/,N,ormahealth,3,Y
385,Atexto,https://atexto.com,N,Atexto,2,N
386,Lunchclub,https://lunchclub.com,N,lunchclub,2,N
387,Crosschq,https://crosschq.com,N,CrossChq,2,N
388,Akridata,https://akridata.com,N,akridata-ai,2,N
389,Root AI,https://root-ai.com,N,root-ai,2,N
390,WeaveGrid,https://www.weavegrid.com,N,weavegrid,2,N
391,AdaViv,https://www.adaviv.com/,N,AdaViv,2,Y
392,Sapling.ai,https://sapling.ai,N,saplingai,2,Y
393,Codify,https://www.codify.ai/,N,GetCodifyAI,2,N
394,Simporter,https://www.simporter.com/,N,Simporter,2,N
395,Color Intelligence,https://colourlab.ai,N,Colourlab-Ai,2,N
396,Speeko,https://www.speeko.co/,N,speekoapp,2,N
397,Polysentry,https://www.polysentry.com,N,PolySentry,2,N
398,Custodia,https://www.custodia.ai,N,custodia-team,2,Y
399,GLIDER.ai,http://glider.ai,N,gliderai,2,N
400,Micro.ai,https://www.micro.ai/,N,micro-ai,2,N
401,BrdgAI,https://brdg.ai/,N,brdg-ai,2,N
402,Bola AI,https://www.bola.ai,N,Bola-AI,2,N
403,Bees360,https://www.bees360.com,N,bees360,2,N
404,Opplane,https://opplane.com,N,Opplane,2,Y
405,Dhan AI,https://www.dhan.ai/,N,dhan2018,2,N
406,Datics AI,http://datics.ai,N,datics,2,N
407,transformAI,https://transformai.com,N,transformAI,2,N
408,Perfect Tense,https://www.perfecttense.com,N,perfecttense,2,Y
409,eCourtDate,https://ecourtdate.com/,N,ecourtdate,2,Y
410,Clean Water AI,http://www.cleanwaterai.com,N,CleanWaterAI,2,N
411,Foresite.ai,https://foresite.ai,N,foresite-ai,2,Y
412,JetML,https://jetml.com/,N,jetml,2,Y
413,Mindscale.ai,https://www.mindscale.ai/,N,mindscale,2,N
414,Almaty Health,https://www.almatyhealth.com/,N,AlmatyHealth,2,N
415,Latticework Insights,https://www.latticeworkinsights.com/,N,LatticeworkInsights,2,Y
416,Xion,http://www.xion.ai,N,xion-global,2,N
417,SiMa.ai,https://sima.ai,N,SiMa-ai,2,N
418,RIOS,http://www.rios.ai,N,rios-ai,2,N
419,Everestlabs.AI,http://www.everestlabs.ai,N,everestlabsai,2,N
420,Windsor.io,https://windsor.io/,N,windsorio,2,Y
421,Epistemic AI,https://www.epistemic.ai,N,epistemic-ai,2,N
422,AIxMed,https://www.aixmed.com/,N,AIxMed,2,Y
423,Capture Technologies,https://capture.tech/,N,capturetechnologies,2,Y
424,Wrench.AI,https://wrench.ai/,N,WrenchAI,2,Y
425,Vast.ai,https://vast.ai,N,vast-ai,2,Y
426,miiCloud,http://www.miicloud.io,N,miiCloud,2,Y
427,Codebot AI Technologies,http://codebotai.com,N,CodeBotAi,2,N
428,Kettle,http://ourkettle.com,N,OurKettle,2,N
429,Akkio,https://www.akkio.com/,N,akkio-inc,2,N
430,ActZero.ai,http://www.actzero.ai,N,actzeroai,2,Y
431,PictorLabs,https://www.pictorlabs.ai,N,pictorlabs,2,N
432,PostEra,https://postera.ai,N,postera-ai,2,Y
433,NavTrac,http://www.navtrac.com/,N,navtrac,2,N
434,Intelligent Racing,https://intelligentracing.com/,N,intelligentracing,2,Y
